Channel,Compound,Date,Negative,Neutral,Positive,Tweet,Tweet_Number
@BBC,0.6915,Sun Dec 10 21:34:02 +0000 2017,0.0,0.56,0.44,"RT @BBCOne: SO. MUCH. CUTE. 😍
#AttenboroughandtheGiantElephant https://t.co/4UyVvh6qBm",1
@BBC,0.0,Sun Dec 10 21:02:27 +0000 2017,0.0,1.0,0.0,RT @BBCEarth: 'Never before have we had such an awareness of what we are doing to the planet and never before have we had the power to do s…,2
@BBC,0.4391,Sun Dec 10 21:00:06 +0000 2017,0.0,0.855,0.145,"🌹@DuaLipa performing 'Homesick' was a completely stunning way to end this series of #SLFN. 💖
Watch in full 👉… https://t.co/LgMlMfnv7F",3
@BBC,-0.3818,Sun Dec 10 20:58:15 +0000 2017,0.126,0.874,0.0,"RT @BBCEarth: 'What shocks me ...is how fast things are changing here. We’re headed into uncharted territory' - @expeditionlog
#BluePlanet2…",4
@BBC,0.0,Sun Dec 10 20:57:07 +0000 2017,0.0,1.0,0.0,"RT @BBCOne: If we don’t act, coral reefs could be gone by the end of this century. 😢 #BluePlanet2 https://t.co/OdOSKBtz0S",5
@BBC,0.0,Sun Dec 10 20:49:42 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: In 1986, many nations decided to end commercial whaling, and fishermen are now reporting pods of whales with numbers never se…",6
@BBC,0.0,Sun Dec 10 20:45:04 +0000 2017,0.0,1.0,0.0,"Little things can make a big difference.
#BluePlanet2 via @BBCEarth https://t.co/hyzwA06cNw",7
@BBC,-0.5574,Sun Dec 10 20:43:59 +0000 2017,0.231,0.769,0.0,"RT @BBCSpringwatch: Manmade materials are destroying #OurBluePlanet - this is how
#BluePlanet2 
https://t.co/sEccQzjv1r https://t.co/7ZmDOz…",8
@BBC,-0.836,Sun Dec 10 20:43:18 +0000 2017,0.283,0.717,0.0,"RT @BBCEarth: It’s estimated that tens of millions of sharks are killed each year from getting trapped in fishing nets
#BluePlanet2 https:/…",9
@BBC,0.0,Sun Dec 10 20:24:26 +0000 2017,0.0,1.0,0.0,RT @BBCOne: These are *all* items regurgitated by birds. 😥 #BluePlanet2 https://t.co/WyFtZHjKjx,10
@BBC,0.4019,Sun Dec 10 20:24:19 +0000 2017,0.0,0.87,0.13,"RT @BBCOne: Our rubbish, our responsibility. ✊ #BluePlanet2 

Find out more about what you can do to help: https://t.co/LiA3x5I2gk. https:/…",11
@BBC,0.9169,Sun Dec 10 20:20:04 +0000 2017,0.0,0.482,0.518,Eight delightful dolphin photos that'll inspire you to help clean up our oceans. #BluePlanet2 🐬❤️️… https://t.co/PP5l7QrqFP,12
@BBC,0.0,Sun Dec 10 20:14:12 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",13
@BBC,-0.5267,Sun Dec 10 20:04:45 +0000 2017,0.152,0.848,0.0,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",14
@BBC,0.0,Sun Dec 10 19:58:55 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",15
@BBC,0.5106,Sun Dec 10 19:58:19 +0000 2017,0.0,0.837,0.163,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless 👏🏽👏🏽
#BluePlanet2 #OurBluePlanet 
ht…",16
@BBC,0.7096,Sun Dec 10 19:50:01 +0000 2017,0.0,0.604,0.396,"'Good luck, little leatherback' - Sir David Attenborough 🐢

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",17
@BBC,-0.1803,Sun Dec 10 19:30:02 +0000 2017,0.213,0.602,0.185,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' 🐧😂
#ScotSquad via… https://t.co/x8I92iMImk",18
@BBC,0.6249,Sun Dec 10 19:00:02 +0000 2017,0.0,0.797,0.203,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,19
@BBC,0.5574,Sun Dec 10 18:33:05 +0000 2017,0.0,0.816,0.184,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",20
@BBC,0.6915,Sun Dec 10 21:34:02 +0000 2017,0.0,0.56,0.44,"RT @BBCOne: SO. MUCH. CUTE. 😍
#AttenboroughandtheGiantElephant https://t.co/4UyVvh6qBm",21
@BBC,0.0,Sun Dec 10 21:02:27 +0000 2017,0.0,1.0,0.0,RT @BBCEarth: 'Never before have we had such an awareness of what we are doing to the planet and never before have we had the power to do s…,22
@BBC,0.4391,Sun Dec 10 21:00:06 +0000 2017,0.0,0.855,0.145,"🌹@DuaLipa performing 'Homesick' was a completely stunning way to end this series of #SLFN. 💖
Watch in full 👉… https://t.co/LgMlMfnv7F",23
@BBC,-0.3818,Sun Dec 10 20:58:15 +0000 2017,0.126,0.874,0.0,"RT @BBCEarth: 'What shocks me ...is how fast things are changing here. We’re headed into uncharted territory' - @expeditionlog
#BluePlanet2…",24
@BBC,0.0,Sun Dec 10 20:57:07 +0000 2017,0.0,1.0,0.0,"RT @BBCOne: If we don’t act, coral reefs could be gone by the end of this century. 😢 #BluePlanet2 https://t.co/OdOSKBtz0S",25
@BBC,0.0,Sun Dec 10 20:49:42 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: In 1986, many nations decided to end commercial whaling, and fishermen are now reporting pods of whales with numbers never se…",26
@BBC,0.0,Sun Dec 10 20:45:04 +0000 2017,0.0,1.0,0.0,"Little things can make a big difference.
#BluePlanet2 via @BBCEarth https://t.co/hyzwA06cNw",27
@BBC,-0.5574,Sun Dec 10 20:43:59 +0000 2017,0.231,0.769,0.0,"RT @BBCSpringwatch: Manmade materials are destroying #OurBluePlanet - this is how
#BluePlanet2 
https://t.co/sEccQzjv1r https://t.co/7ZmDOz…",28
@BBC,-0.836,Sun Dec 10 20:43:18 +0000 2017,0.283,0.717,0.0,"RT @BBCEarth: It’s estimated that tens of millions of sharks are killed each year from getting trapped in fishing nets
#BluePlanet2 https:/…",29
@BBC,0.0,Sun Dec 10 20:24:26 +0000 2017,0.0,1.0,0.0,RT @BBCOne: These are *all* items regurgitated by birds. 😥 #BluePlanet2 https://t.co/WyFtZHjKjx,30
@BBC,0.4019,Sun Dec 10 20:24:19 +0000 2017,0.0,0.87,0.13,"RT @BBCOne: Our rubbish, our responsibility. ✊ #BluePlanet2 

Find out more about what you can do to help: https://t.co/LiA3x5I2gk. https:/…",31
@BBC,0.9169,Sun Dec 10 20:20:04 +0000 2017,0.0,0.482,0.518,Eight delightful dolphin photos that'll inspire you to help clean up our oceans. #BluePlanet2 🐬❤️️… https://t.co/PP5l7QrqFP,32
@BBC,0.0,Sun Dec 10 20:14:12 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",33
@BBC,-0.5267,Sun Dec 10 20:04:45 +0000 2017,0.152,0.848,0.0,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",34
@BBC,0.0,Sun Dec 10 19:58:55 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",35
